estimate,identity,fweight,oweight
1346,Female,1346,NA
1119,Female,1119,NA
392.8,Female,392.8,NA
1364,Female,1364,NA
646,Other,NA,646
437,Female,437,NA
634,Female,634,NA
1604,Female,1604,NA
884,Female,884,NA
438,Female,438,NA
434,Female,434,NA
1594,Female,1594,NA
1102,Female,1102,NA
690,Female,690,NA
703,Female,703,NA
482,Female,482,NA
661,Female,661,NA
261,Female,261,NA
396,Female,396,NA
224,Female,224,NA
919,Other,NA,919
282,Female,282,NA
428,Female,428,NA
1518,Other,NA,1518
843,Female,843,NA
208.4,Other,NA,208.4
464,Female,464,NA
1073,Other,NA,1073
406,Other,NA,406
1284,Female,1284,NA
230,Other,NA,230
316,Female,316,NA
383,Female,383,NA
541,Other,NA,541
396,Female,396,NA
659,Other,NA,659
1100,Other,NA,1100
908,Female,908,NA
644,Female,644,NA
757,Female,757,NA
1598,Female,1598,NA
811,Female,811,NA
623,Female,623,NA
398,Female,398,NA
342,Other,NA,342
464,Female,464,NA
864,Female,864,NA
1334,Female,1334,NA
160,Female,160,NA
421,Female,421,NA
2190,Female,2190,NA
770,Female,770,NA
739,Female,739,NA
1030,Female,1030,NA
1163,Female,1163,NA
628,Female,628,NA
361,Other,NA,361
356,Other,NA,356
492,Other,NA,492
822,Female,822,NA
1109,Female,1109,NA
1173,Female,1173,NA
276,Female,276,NA
668,Female,668,NA
466,Female,466,NA
305,Female,305,NA
314,Female,314,NA
180,Female,180,NA
293,Female,293,NA
450,Other,NA,450
619,Female,619,NA
661,Other,NA,661
1433,Female,1433,NA
567,Female,567,NA
538,Female,538,NA
261,Female,261,NA
1314,Other,NA,1314
851,Female,851,NA
584,Female,584,NA
424,Female,424,NA
859,Female,859,NA
1970,Female,1970,NA
612,Other,NA,612
766,Other,NA,766
1831,Female,1831,NA
525,Female,525,NA
1098,Other,NA,1098
337,Female,337,NA
1111,Female,1111,NA
1695,Female,1695,NA
474,Female,474,NA
860,Female,860,NA
257,Female,257,NA
309,Female,309,NA
