identity,estimate,female_estimate,other_estimate
Female,132,132,
Female,220,220,
Female,220,220,
Female,231,231,
Female,242,242,
Female,242,242,
Female,264,264,
Female,275,275,
Female,275,275,
Female,308,308,
Female,319,319,
Female,330,330,
Female,330,330,
Female,330,330,
Female,330,330,
Female,330,330,
Female,330,330,
Female,330,330,
Female,363,363,
Female,371.8,371.8,
Female,374,374,
Female,385,385,
Female,385,385,
Female,385,385,
Female,396,396,
Female,396,396,
Female,396,396,
Female,396,396,
Other,440,,440
Female,440,440,
Other,440,,440
Female,440,440,
Other,440,,440
Female,440,440,
Female,440,440,
Female,440,440,
Other,440,,440
Female,440,440,
Other,440,,440
Female,440,440,
Female,440,440,
Female,440,440,
Female,440,440,
Female,440,440,
Other,462,,462
Female,484,484,
Female,495,495,
Female,495,495,
Other,495,,495
Female,506,506,
Female,528,528,
Other,550,,550
Female,550,550,
Female,550,550,
Female,550,550,
Other,550,,550
Female,550,550,
Other,550,,550
Female,572,572,
Female,660,660,
Female,660,660,
Female,660,660,
Other,660,,660
Female,660,660,
Female,660,660,
Female,660,660,
Female,660,660,
Female,704,704,
Other,704,,704
Female,715,715,
Female,748,748,
Female,770,770,
Female,770,770,
Other,770,,770
Female,770,770,
Female,825,825,
Female,825,825,
Female,825,825,
Female,836,836,
Female,880,880,
Female,880,880,
Female,880,880,
Female,880,880,
Female,880,880,
Female,990,990,
Female,990,990,
Female,1100,1100,
Female,1100,1100,
Female,1100,1100,
Female,1100,1100,
Female,1100,1100,
Female,1210,1210,
Other,1210,,1210
Female,1265,1265,
Other,1320,,1320
Female,1320,1320,
Other,1320,,1320
Female,1320,1320,
Female,1320,1320,
Female,1320,1320,
Female,1535.6,1535.6,
Other,1540,,1540
Female,1540,1540,
Female,1540,1540,
Female,1540,1540,
Female,1584,1584,
Female,1595,1595,
Female,1650,1650,
Female,1650,1650,
Female,1650,1650,
Other,1760,,1760
Other,1760,,1760
Other,1980,,1980
