home_location,music_swift,music_beyonce,music_sheeran,music_drake,music_coldplay,music_linkin,music_nirvana,music_rhcp
UK,3,4,4,3,3,NA,2,3
Asia,3,3,5,NA,5,4,5,5
UK,2,NA,4,2,4,NA,NA,NA
UK,5,2,1,1,3,NA,2,NA
Europe (not UK),5,NA,5,1,4,NA,3,5
UK,5,3,3,1,4,NA,NA,NA
Europe (not UK),2,5,4,5,3,4,2,NA
UK,4,3,5,1,1,NA,NA,NA
Europe (not UK),3,3,3,4,2,1,1,NA
Europe (not UK),2,3,4,4,2,NA,NA,NA
UK,5,5,5,2,2,NA,NA,NA
UK,5,4,4,3,4,NA,NA,NA
UK,3,2,2,1,4,1,1,1
UK,4,3,5,1,5,NA,NA,NA
UK,3,5,4,5,4,NA,NA,3
UK,2,NA,3,2,3,NA,NA,NA
UK,NA,4,3,3,3,4,4,4
UK,2,3,4,2,5,2,2,5
UK,3,3,4,3,3,5,5,4
UK,5,3,2,1,2,NA,NA,NA
UK,2,1,2,1,1,5,4,4
UK,2,2,3,3,4,3,NA,NA
Europe (not UK),1,4,5,5,3,4,4,5
UK,NA,NA,2,1,1,NA,3,3
UK,4,4,4,2,2,NA,2,2
UK,2,1,1,1,4,2,4,2
UK,5,5,5,3,4,NA,2,NA
UK,5,4,1,2,3,2,1,1
Europe (not UK),5,NA,3,2,3,3,3,4
UK,3,2,2,3,1,NA,NA,NA
UK,2,4,4,5,3,NA,NA,NA
UK,4,3,4,1,3,3,3,2
UK,1,4,4,4,1,1,1,1
UK,1,1,1,2,1,2,4,3
UK,4,NA,NA,NA,NA,NA,NA,NA
UK,4,3,4,4,4,3,NA,3
UK,2,3,4,4,2,4,NA,NA
UK,2,1,2,1,3,2,3,2
UK,4,3,3,3,4,1,1,1
UK,2,3,2,2,NA,NA,NA,2
UK,5,3,4,1,2,2,NA,NA
UK,4,4,3,2,2,3,3,3
Europe (not UK),4,4,2,3,2,NA,3,3
UK,2,2,2,2,3,NA,4,4
UK,3,5,4,3,5,NA,NA,NA
UK,4,4,3,4,2,NA,NA,NA
UK,1,1,1,1,5,4,4,5
UK,5,NA,3,1,4,3,3,3
UK,2,3,3,3,2,3,4,NA
UK,2,1,1,2,3,1,2,2
UK,NA,NA,3,2,5,5,5,NA
Europe (not UK),5,3,5,NA,4,2,1,NA
Europe (not UK),1,1,4,1,4,3,2,5
UK,1,3,2,1,2,5,5,4
UK,2,4,3,1,4,3,5,4
Asia,2,2,NA,NA,NA,2,NA,NA
Asia,3,NA,3,4,2,1,1,3
UK,3,2,4,1,1,5,3,NA
UK,4,3,1,1,1,3,4,3
Europe (not UK),5,5,5,4,5,NA,NA,NA
UK,2,3,4,2,3,NA,2,NA
UK,2,2,3,3,3,1,NA,1
UK,3,4,4,2,4,NA,NA,2
UK,3,3,5,2,3,NA,NA,NA
UK,3,4,4,3,4,NA,2,3
UK,3,5,5,4,4,NA,NA,NA
UK,2,3,3,4,4,4,5,3
UK,3,3,4,2,4,NA,NA,NA
UK,3,3,4,1,2,NA,NA,1
UK,2,2,4,2,4,2,2,1
UK,3,3,5,2,4,3,4,NA
UK,4,5,5,5,4,4,4,5
UK,1,4,1,1,1,2,4,4
UK,3,4,2,1,3,2,4,3
UK,3,2,5,1,3,4,3,4
UK,1,2,1,1,1,2,3,2
UK,4,3,3,NA,5,3,4,3
Europe (not UK),3,5,5,2,4,5,NA,NA
UK,3,2,5,1,3,NA,4,NA
UK,3,2,4,4,4,1,1,NA
UK,3,3,5,4,4,3,3,5
UK,3,2,5,3,3,NA,NA,NA
Europe (not UK),2,3,4,2,4,NA,NA,NA
UK,1,1,2,2,2,1,2,1
Europe (not UK),3,2,1,1,4,5,3,5
UK,3,1,1,1,NA,NA,NA,3
UK,1,4,4,2,3,NA,2,2
UK,1,1,2,2,3,1,2,2
UK,3,2,4,1,2,NA,4,1
UK,1,4,3,3,4,NA,NA,NA
Europe (not UK),1,3,4,5,3,3,3,3
UK,4,3,2,3,3,NA,3,3
UK,2,2,4,1,NA,NA,2,NA
UK,4,4,4,1,2,NA,NA,NA
Asia,4,NA,4,NA,NA,NA,NA,NA
UK,4,4,2,3,4,2,4,3
UK,3,3,4,2,5,NA,NA,NA
Europe (not UK),3,2,3,4,1,3,5,NA
UK,2,1,3,3,3,NA,4,NA
UK,3,NA,4,3,5,NA,3,5
UK,1,5,2,4,4,NA,NA,NA
Asia,3,NA,NA,NA,NA,NA,NA,NA
UK,3,3,4,2,NA,NA,NA,NA
UK,1,3,3,3,NA,NA,3,NA
UK,5,NA,5,4,5,NA,2,NA
UK,3,4,2,NA,2,NA,4,5
UK,2,2,2,2,2,5,5,4
UK,4,3,4,2,3,NA,NA,NA
UK,1,2,1,3,4,2,4,4
UK,2,3,4,4,NA,NA,NA,NA
UK,1,4,3,4,4,NA,NA,3
UK,3,4,4,1,3,NA,NA,NA
UK,1,2,2,2,3,4,5,1
Asia,3,2,3,1,3,1,1,1
UK,3,2,4,2,3,3,3,3
UK,2,1,2,3,5,NA,3,NA
UK,3,4,4,3,3,3,2,4
Asia,3,3,3,NA,NA,NA,NA,NA
UK,4,3,4,4,4,3,2,2
Europe (not UK),1,2,2,1,1,2,5,2
UK,3,5,4,4,4,NA,NA,NA
UK,2,5,5,3,3,1,1,1
UK,2,3,5,3,3,1,1,1
UK,5,2,4,3,5,NA,NA,NA
UK,3,5,3,2,4,NA,NA,NA
UK,4,3,2,3,4,3,5,4
UK,3,4,3,2,3,NA,4,3
UK,3,3,3,1,4,3,4,5
UK,2,2,4,4,3,3,3,3
UK,2,1,2,2,2,2,3,2
UK,1,2,4,4,4,NA,NA,NA
Asia,5,5,5,4,4,3,3,3
UK,NA,3,2,2,2,2,4,NA
UK,2,3,3,4,1,3,2,4
UK,4,3,4,3,4,2,2,2
Asia,NA,NA,NA,NA,NA,NA,NA,NA
Europe (not UK),2,2,4,3,3,5,4,5
Asia,5,2,5,NA,4,4,NA,NA
UK,3,4,5,2,4,1,NA,NA
UK,3,5,5,4,4,NA,2,2
Asia,2,2,5,1,5,3,5,5
Europe (not UK),3,4,4,2,3,5,4,3
UK,1,1,1,3,3,4,3,3
UK,2,1,2,1,1,1,3,3
UK,3,4,2,3,1,NA,NA,NA
UK,5,5,5,3,3,NA,NA,NA
UK,NA,NA,2,1,3,5,3,2
UK,2,2,3,1,2,2,2,3
UK,3,NA,2,1,4,5,5,4
UK,3,4,4,5,2,NA,1,1
UK,2,1,2,1,3,2,3,3
UK,3,3,3,NA,3,NA,NA,NA
UK,3,2,5,3,4,3,3,5
UK,3,3,3,3,4,4,3,3
UK,3,5,5,5,3,3,3,3
UK,2,3,4,2,5,NA,NA,4
UK,4,3,5,2,2,NA,2,NA
UK,4,5,4,5,NA,NA,NA,NA
Asia,4,3,4,5,5,2,NA,NA
UK,5,3,4,2,2,NA,5,5
UK,1,5,3,5,4,NA,NA,NA
UK,3,NA,4,3,4,1,4,4
UK,1,2,NA,2,2,NA,NA,NA
