phone_type,screen_time_actual,screen_time_estimate
Android,3,5
iPhone,3,7
iPhone,5,4
iPhone,6,5
Android,2,3
iPhone,3,2
iPhone,6,6
iPhone,4,4
iPhone,3,3
Android,5,1
iPhone,7,5
iPhone,5,4
iPhone,4,3
iPhone,2,4
iPhone,4,5
iPhone,6,5
iPhone,1,8
Android,9,5
iPhone,5,6
iPhone,6,6
Android,3,3
iPhone,3,12
Android,4,3
iPhone,3,10
iPhone,3,3
Android,4,5
iPhone,5,4
Android,4,8
Android,1,0
iPhone,3,4
iPhone,6,7
iPhone,2,2
iPhone,6,4
Android,6,7
Android,8,8
iPhone,6,7
iPhone,7,5
Android,4,4
iPhone,8,8
iPhone,5,6
iPhone,6,5
iPhone,5,5
Android,5,4
iPhone,3,4
iPhone,2,17
iPhone,7,7
Android,3,3
iPhone,6,6
iPhone,5,9
iPhone,7,14
iPhone,2,1
iPhone,6,4
iPhone,7,6
iPhone,7,8
iPhone,6,6
iPhone,8,7
Android,3,3
iPhone,3,3
iPhone,5,5
iPhone,5,5
iPhone,4,5
Android,7,6
iPhone,4,4
iPhone,4,7
iPhone,4,4
iPhone,6,9
iPhone,3,4
Android,9,6
Android,8,12
Android,6,6
iPhone,7,7
iPhone,1,4
Android,5,3
Android,4,5
iPhone,3,4
Android,7,6
Android,4,5
Android,17,14
iPhone,5,5
iPhone,5,5
iPhone,4,4
iPhone,3,3
iPhone,2,2
iPhone,5,5
iPhone,2,3
iPhone,4,5
iPhone,6,8
iPhone,6,7
iPhone,3,6
Android,7,8
iPhone,8,4
Android,5,4
iPhone,3,3
iPhone,4,4
iPhone,5,5
iPhone,2,1
iPhone,16,15
Android,7,8
Android,4,20
iPhone,4,4
iPhone,5,7
Android,3,3
iPhone,5,5
iPhone,4,4
iPhone,5,6
iPhone,7,5
iPhone,6,6
iPhone,5,5
iPhone,7,7
iPhone,6,5
iPhone,5,7
Android,12,7
Android,9,8
iPhone,9,7
iPhone,7,6
iPhone,8,8
iPhone,8,10
iPhone,7,6
iPhone,5,6
iPhone,8,6
iPhone,6,5
iPhone,7,5
iPhone,7,5
Android,8,6
Android,3,8
Android,4,3
Android,5,20
iPhone,15,10
Android,3,4
iPhone,10,9
iPhone,6,7
iPhone,1,1
iPhone,5,3
iPhone,4,6
iPhone,5,5
iPhone,4,6
iPhone,2,4
iPhone,5,3
iPhone,5,4
iPhone,4,20
iPhone,7,6
Android,6,12
Android,3,7
Android,17,20
iPhone,5,5
iPhone,5,4
iPhone,7,7
iPhone,16,14
Android,7,6
iPhone,6,5
iPhone,5,4
iPhone,19,15
iPhone,8,5
iPhone,4,5
iPhone,6,5
iPhone,4,24
iPhone,5,6
iPhone,3,3
iPhone,3,2
iPhone,7,7
iPhone,4,3
iPhone,6,5
iPhone,7,9
iPhone,7,7
iPhone,11,6
Android,6,5
Android,3,1
iPhone,3,10
Android,6,6
Android,16,7
Android,5,4
iPhone,5,6
iPhone,7,3
Android,3,21
iPhone,2,3
iPhone,7,7
iPhone,3,4
iPhone,8,7
iPhone,9,8
Android,2,1
Android,6,9
Android,6,5
Android,7,5
iPhone,4,4
iPhone,1,6
iPhone,8,10
iPhone,7,8
iPhone,7,8
iPhone,8,8
iPhone,3,5
iPhone,5,4
iPhone,2,2
iPhone,3,4
