home_location,uk_salary
UK,40000
UK,40000
UK,26000
UK,30000
UK,30000
UK,34000
UK,6000
UK,30000
UK,27000
UK,35000
UK,40000
UK,500000
UK,31000
UK,5000
UK,30000
UK,40000
UK,28000
UK,27000
Europe (not UK),5000
UK,28000
UK,35000
Asia,5000
UK,30000
UK,27000
UK,47000
UK,55000
UK,50000
UK,25000
UK,35000
UK,25000
UK,45000
UK,30000
UK,30000
UK,28000
UK,30000
UK,20000
UK,30000
UK,55000
UK,35000
UK,25000
UK,30000
UK,32000
UK,35000
UK,25000
UK,38000
UK,35000
UK,25000
UK,25000
UK,10000
UK,30000
UK,28000
UK,35000
UK,30000
UK,35000
UK,30000
Europe (not UK),23000
UK,24000
UK,30000
UK,28000
UK,30000
Europe (not UK),20000
Europe (not UK),12000
UK,30000
UK,38000
UK,35000
UK,26000
UK,50000
UK,15000
UK,30000
UK,27000
UK,30000
UK,30000
UK,18000
Europe (not UK),12000
UK,30000
UK,27000
UK,25000
UK,25000
UK,29000
UK,15000
UK,19500
UK,30000
UK,30000
UK,32500
Asia,29000
UK,40000
UK,25000
UK,30000
UK,25000
UK,30000
UK,60000
UK,40000
UK,30000
Europe (not UK),22000
UK,25000
UK,20000
UK,27000
UK,40000
UK,100000
Asia,6000
Europe (not UK),500000
UK,50000
UK,30000
UK,30000
UK,35000
UK,35000
UK,100000
UK,300000
UK,56000
UK,30000
UK,21000
UK,27000
UK,33000
UK,30000
UK,35000
UK,35000
UK,25000
UK,25000
UK,38000
UK,30000
Asia,60000
UK,38000
UK,32000
Asia,20000
UK,45000
UK,30000
UK,25000
UK,35000
Asia,25000
UK,25000
UK,27000
UK,30000
UK,40000
UK,5000
UK,30000
UK,38000
Asia,35000
UK,30000
UK,20000
UK,30000
UK,30000
UK,30000
UK,22000
UK,35000
