pID,condition,time
1,control,5
1,compatible,3
1,incompatible,6
2,control,4
2,compatible,3
2,incompatible,6
3,control,3.73
3,compatible,4.04
3,incompatible,4.29
4,control,3.8099999999999996
4,compatible,3.05
4,incompatible,4.41
5,control,6
5,compatible,4
5,incompatible,9
6,control,5.38
6,compatible,4.1899999999999995
6,incompatible,7.1499999999999995
7,control,7.52
7,compatible,5.84
7,incompatible,8.05
8,control,8
8,compatible,5
8,incompatible,12
9,control,6.4
9,compatible,3.3
9,incompatible,11.4
10,control,3.1
10,compatible,2.7
10,incompatible,3.3
11,control,6
11,compatible,5
11,incompatible,7
12,control,5.430000000000001
12,compatible,2.8499999999999996
12,incompatible,6.26
13,control,4
13,compatible,2.8
13,incompatible,6.5
14,control,5
14,compatible,4
14,incompatible,7
15,control,6.78
15,compatible,4.63
15,incompatible,8.02
16,control,6
16,compatible,6
16,incompatible,9
17,control,6
17,compatible,5
17,incompatible,9
18,control,7
18,compatible,5
18,incompatible,12
19,control,4
19,compatible,4
19,incompatible,7
20,control,6.5
20,compatible,4.3
20,incompatible,11
21,control,6.4
21,compatible,5.2
21,incompatible,5.8
22,control,7
22,compatible,8
22,incompatible,11
23,control,4.2
23,compatible,3.3499999999999996
23,incompatible,6.89
24,control,7
24,compatible,6
24,incompatible,7
25,control,5
25,compatible,2.7
25,incompatible,10.1
26,control,7
26,compatible,5
26,incompatible,6
27,control,13
27,compatible,10
27,incompatible,17
28,control,5
28,compatible,6
28,incompatible,7
29,control,6
29,compatible,7
29,incompatible,9
30,control,8
30,compatible,5
30,incompatible,11
31,control,6
31,compatible,5.4
31,incompatible,6.8
32,control,6.6
32,compatible,5.04
32,incompatible,8
33,control,5
33,compatible,3
33,incompatible,8
34,control,5
34,compatible,4
34,incompatible,9
35,control,6.18
35,compatible,4.39
35,incompatible,8.88
36,control,4
36,compatible,4
36,incompatible,6
37,control,10
37,compatible,10
37,incompatible,10
38,control,7.119999999999999
38,compatible,5.51
38,incompatible,7.78
39,control,4.2
39,compatible,4.08
39,incompatible,5.119999999999999
40,control,7
40,compatible,6
40,incompatible,10
41,control,8.54
41,compatible,5.25
41,incompatible,8.639999999999999
42,control,3.5
42,compatible,2.8
42,incompatible,4.1
43,control,5
43,compatible,4
43,incompatible,7
44,control,5
44,compatible,4
44,incompatible,7
45,control,5
45,compatible,4
45,incompatible,7
46,control,7
46,compatible,9
46,incompatible,11
47,control,5
47,compatible,3
47,incompatible,4
48,control,4.1899999999999995
48,compatible,3.4499999999999997
48,incompatible,5.22
49,control,5
49,compatible,3
49,incompatible,5
50,control,11
50,compatible,4
50,incompatible,10
51,control,5.39
51,compatible,3.6
51,incompatible,7.359999999999999
52,control,6.21
52,compatible,3.2600000000000002
52,incompatible,6.5
53,control,4.81
53,compatible,3.3299999999999996
53,incompatible,5.33
54,control,10
54,compatible,5
54,incompatible,10
55,control,5.64
55,compatible,6.319999999999999
55,incompatible,9.5
56,control,5
56,compatible,3
56,incompatible,7
57,control,5
57,compatible,3
57,incompatible,6
58,control,5
58,compatible,3
58,incompatible,3
59,control,7
59,compatible,4
59,incompatible,7
60,control,5
60,compatible,4
60,incompatible,7
61,control,4
61,compatible,4.87
61,incompatible,7
62,control,7
62,compatible,7
62,incompatible,9
63,control,5.06
63,compatible,4.8
63,incompatible,8.19
64,control,3.08
64,compatible,2.88
64,incompatible,3.82
65,control,4.6
65,compatible,2.5
65,incompatible,7
66,control,8.18
66,compatible,6.48
66,incompatible,7.659999999999999
67,control,5
67,compatible,4
67,incompatible,7
68,control,5
68,compatible,3
68,incompatible,7
69,control,8
69,compatible,8
69,incompatible,9
70,control,6
70,compatible,6
70,incompatible,8
71,control,7
71,compatible,5
71,incompatible,8
72,control,6.4
72,compatible,4.68
72,incompatible,13.850000000000001
73,control,6
73,compatible,3
73,incompatible,7
74,control,5.119999999999999
74,compatible,3.3299999999999996
74,incompatible,5.609999999999999
75,control,5
75,compatible,4.5
75,incompatible,6.1
76,control,7
76,compatible,6
76,incompatible,8
77,control,5.92
77,compatible,5.22
77,incompatible,7.05
78,control,8
78,compatible,4
78,incompatible,11
79,control,6
79,compatible,4
79,incompatible,6
80,control,6.95
80,compatible,5.58
80,incompatible,9.950000000000001
81,control,6
81,compatible,5
81,incompatible,12
82,control,7.05
82,compatible,5.75
82,incompatible,7.6
83,control,6.9
83,compatible,5.430000000000001
83,incompatible,8.33
84,control,11
84,compatible,7
84,incompatible,15
85,control,5
85,compatible,4
85,incompatible,7
86,control,4.3
86,compatible,2.58
86,incompatible,6.5
87,control,4.84
87,compatible,4.52
87,incompatible,5.430000000000001
88,control,5
88,compatible,4
88,incompatible,5
89,control,4.33
89,compatible,4.39
89,incompatible,9.41
90,control,6
90,compatible,3
90,incompatible,6
91,control,4
91,compatible,4
91,incompatible,5
92,control,19
92,compatible,11
92,incompatible,22
93,control,6
93,compatible,4
93,incompatible,5
94,control,5
94,compatible,3
94,incompatible,7
95,control,0
95,compatible,0
95,incompatible,0
96,control,5.6499999999999995
96,compatible,2.9899999999999998
96,incompatible,5.85
97,control,5
97,compatible,7
97,incompatible,7
98,control,4.05
98,compatible,2.4099999999999997
98,incompatible,5.67
99,control,5.9
99,compatible,4.2
99,incompatible,6.4
100,control,4
100,compatible,5.42
100,incompatible,6
101,control,6
101,compatible,4
101,incompatible,6
102,control,5
102,compatible,4
102,incompatible,5
103,control,5
103,compatible,8
103,incompatible,5
104,control,6
104,compatible,5
104,incompatible,8
105,control,7
105,compatible,4
105,incompatible,7
106,control,23
106,compatible,24
106,incompatible,24
107,control,7.42
107,compatible,4.619999999999999
107,incompatible,14.25
108,control,5
108,compatible,3
108,incompatible,6
109,control,5.84
109,compatible,3.7600000000000002
109,incompatible,4.42
110,control,6
110,compatible,4.5
110,incompatible,6
111,control,4
111,compatible,4
111,incompatible,9
112,control,8
112,compatible,4
112,incompatible,9
113,control,4
113,compatible,5
113,incompatible,9
114,control,5.23
114,compatible,4.119999999999999
114,incompatible,6.02
115,control,7
115,compatible,6
115,incompatible,6
116,control,5
116,compatible,4
116,incompatible,6
117,control,5
117,compatible,3
117,incompatible,6
118,control,7
118,compatible,6
118,incompatible,8
119,control,4
119,compatible,3
119,incompatible,4
120,control,7.64
120,compatible,6.9
120,incompatible,7.75
121,control,5
121,compatible,3
121,incompatible,7
122,control,8
122,compatible,6
122,incompatible,7
123,control,12
123,compatible,14
123,incompatible,21
124,control,6
124,compatible,3
124,incompatible,6
125,control,6
125,compatible,5
125,incompatible,11
126,control,5.85
126,compatible,4.41
126,incompatible,9.93
127,control,3
127,compatible,6
127,incompatible,10
128,control,5
128,compatible,4
128,incompatible,6
129,control,15
129,compatible,6
129,incompatible,12
130,control,6.6899999999999995
130,compatible,7.52
130,incompatible,7.33
131,control,23
131,compatible,18
131,incompatible,21
132,control,12
132,compatible,7
132,incompatible,9
133,control,6
133,compatible,4
133,incompatible,7
134,control,5
134,compatible,3.15
134,incompatible,7.42
