pop_est_christian,pop_est_muslim,pop_est_age,pop_est_immigrants,home_location_in_UK
60,9,18,9,North
60,15,30,30,South
60,20,20,50,North
20,30,44,40,North
19,8,38,32,South
30,60,72,40,North
38,21,57,43,South
70,30,20,15,North
62,31,31,30,North
30,25,10,25,South
35,15,40,26,South
51,30,30,30,South
50,20,30,40,South
38,14,60,45,South
41,19,28,20,North
35,20,44,28,South
61,25,50,35,North
68,56,45,56,South
52,19,29,6,North
53,45,43,20,North
15,10,20,15,North
50,20,35,10,North
33,19,25,10,North
50,10,60,20,North
40,19,31,27,North
52,45,20,45,North
29,18,40,30,South
39,10,21,18,South
42,8,58,21,North
60,25,20,10,North
50,20,34,20,South
40,35,25,45,North
71,50,71,77,North
60,11,31,15,South
40,20,28,20,North
25,3,25,11,South
34,21,56,35,North
34,22,14,41,North
60,20,19,52,North
62,41,53,40,North
67,27,62,27,North
24,13,30,13,North
10,20,58,30,North
10,42,42,30,North
60,50,65,40,North
60,30,70,40,North
48,25,54,9,North
64,21,25,30,North
70,30,60,40,South
30,36,45,60,North
52,20,28,25,North
15,13,6,28,North
40,50,51,60,North
45,13,60,32,South
40,30,50,18,North
40,28,31,21,South
39,30,24,19,North
45,34,66,45,South
25,50,40,30,North
30,61,50,40,North
40,50,63,74,North
8,11,18,24,North
50,20,10,20,North
40,30,40,20,North
65,52,42,43,North
30,20,25,7,North
10,10,20,17,North
55,15,35,32,South
25,10,30,35,North
30,51,41,25,North
50,50,34,25,North
50,20,40,30,North
29,25,32,46,North
65,5,18,4,North
15,4,38,19,South
17,7,9,17,South
55,46,41,30,North
80,50,60,55,North
50,62,58,42,North
18,19,30,28,North
25,11,30,19,North
32,20,55,32,North
51,40,34,46,North
50,40,30,30,North
80,78,20,12,North
51,42,40,18,South
50,38,67,27,North
50,20,19,40,South
83,35,53,49,North
55,30,15,35,North
25,3,20,15,North
45,43,27,37,South
20,5,15,30,North
30,60,20,20,North
19,40,30,9,North
40,9,20,25,North
39,4,34,15,North
20,10,30,15,South
73,61,66,61,North
60,71,49,55,South
65,25,35,35,South
60,30,20,10,South
61,9,32,20,North
45,62,22,14,North
19,13,5,19,North
15,12,43,41,North
40,30,70,40,North
62,26,28,19,North
71,40,68,37,North
65,30,41,45,North
60,20,40,25,North
15,6,32,20,North
20,30,60,30,North
50,20,35,30,North
25,20,55,65,South
61,11,45,7,North
20,8,12,16,North
40,20,31,30,South
26,26,39,20,South
25,20,35,10,North
46,18,42,28,South
50,25,35,15,North
14,8,4,11,North
29,19,50,15,North
50,34,63,16,North
31,46,43,37,North
20,35,46,40,North
39,71,60,41,North
60,40,25,15,North
40,10,30,15,South
40,33,35,29,North
30,70,50,41,North
40,60,30,30,North
63,15,20,25,North
40,30,40,74,North
11,6,30,8,North
38,24,19,62,North
45,38,58,45,South
71,40,30,30,North
45,13,15,10,North
80,30,30,40,North
30,15,44,14,South
45,6,35,14,North
51,28,40,42,North
30,20,15,14,North
40,8,46,46,South
57,27,50,40,North
40,30,61,17,North
31,32,41,53,South
