facebook_friends,instagram_followers,pop_score,rock_score,music_pref
357,605,14,5,pop-tastic
69,131,12,5,pop-tastic
100,600,5,8,rock-on
30,1058,11,6,pop-tastic
200,350,15,2,pop-tastic
447,559,13,4,pop-tastic
127,2166,9,3,pop-tastic
252,534,11,8,pop-tastic
11,362,11,10,pop-tastic
143,603,13,2,pop-tastic
326,1094,14,8,pop-tastic
113,980,12,17,rock-on
764,672,10,3,pop-tastic
30,1050,14,15,rock-on
23,56,6,14,rock-on
548,1133,14,4,pop-tastic
360,87,12,12,rock-on
1200,2500,14,18,rock-on
1,1,8,8,rock-on
183,619,15,5,pop-tastic
292,338,13,2,pop-tastic
318,206,15,4,pop-tastic
254,727,15,2,pop-tastic
206,1662,8,5,pop-tastic
35,89,7,4,pop-tastic
0,28,12,11,pop-tastic
172,709,11,2,pop-tastic
0,54,12,8,pop-tastic
207,414,10,9,pop-tastic
7,70,10,3,pop-tastic
103,1472,16,3,pop-tastic
52,529,15,3,pop-tastic
683,2957,18,7,pop-tastic
194,185,4,13,rock-on
4,433,16,11,pop-tastic
1124,792,12,4,pop-tastic
129,250,2,14,rock-on
57,218,10,9,pop-tastic
356,544,11,13,rock-on
554,334,13,13,rock-on
87,230,17,5,pop-tastic
431,266,8,13,rock-on
521,548,14,13,pop-tastic
0,773,11,3,pop-tastic
186,430,16,3,pop-tastic
481,197,16,12,pop-tastic
257,1414,10,16,rock-on
805,1155,16,6,pop-tastic
100,350,17,9,pop-tastic
8,253,18,3,pop-tastic
308,357,14,12,pop-tastic
0,100,12,9,pop-tastic
532,653,13,7,pop-tastic
212,619,12,15,rock-on
250,850,8,8,rock-on
40,133,11,0,pop-tastic
210,530,11,5,pop-tastic
277,839,12,4,pop-tastic
154,131,9,0,pop-tastic
122,151,15,17,rock-on
1,749,13,9,pop-tastic
139,552,13,2,pop-tastic
150,440,15,14,pop-tastic
134,161,12,8,pop-tastic
2,2,12,12,rock-on
153,140,12,7,pop-tastic
21,22,11,5,pop-tastic
120,337,7,18,rock-on
50,250,11,0,pop-tastic
196,1205,14,7,pop-tastic
25,155,8,16,rock-on
840,496,12,12,rock-on
49,703,10,15,rock-on
499,407,15,11,pop-tastic
40,400,13,6,pop-tastic
201,428,3,0,pop-tastic
102,1126,10,6,pop-tastic
200,676,12,5,pop-tastic
52,563,4,12,rock-on
400,700,9,15,rock-on
496,1632,17,6,pop-tastic
7,26,12,4,pop-tastic
258,714,7,15,rock-on
1099,706,8,16,rock-on
10,768,13,3,pop-tastic
842,2139,11,7,pop-tastic
359,501,13,3,pop-tastic
191,1325,14,0,pop-tastic
150,410,10,4,pop-tastic
241,1647,10,3,pop-tastic
0,316,12,6,pop-tastic
